特殊教育		医学,临床医学,医学院,医学常识,医学生,健身,性欲,健身,性欲,
高等教育	北京市朝阳区东四环	心理学,租房,合租,非正式会谈,非正式会谈 第五季（综艺）,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,心理学,租房,合租,非正式会谈,非正式会谈 第五季（综艺）,
	醉月不知诗仙酌	猫和老鼠,老鼠 ,性别,女生,男生,男生看待女生,社会性别,性别,女生,男生,男生看待女生,社会性别,
	周游少爷	电影,喜剧,影视评论,喜剧电影,新喜剧之王（电影）,变态行为,异常心理学,心理变态,变态行为,异常心理学,心理变态,
	包佳齐	古典音乐,音乐,唱歌,搞笑,音乐,唱歌,搞笑,
高等教育	Qilin Li	刀剑神域（SAO）,亚丝娜,后宫动漫,
互联网	杭州	生活,心理学,心理,选择恐惧症,产品经理,求职,应聘,在线教育,应届生求职,产品经理,求职,应聘,在线教育,应届生求职,
	林莺	法律,犯罪,刑法,网络暴力,未成年人保护法,合伙人,生意,利益分配,利益冲突,股权分配,合伙人,生意,利益分配,利益冲突,股权分配,
法律	北京	电影,影视评论,动漫,中国动画,哪吒之魔童降世（动画电影）,生活方式,两性关系,恋爱,综艺,心动的信号 第二季（综艺）,生活方式,两性关系,恋爱,综艺,心动的信号 第二季（综艺）,
	北京	印度,乌克兰,国内生产总值（GDP）,印度,乌克兰,国内生产总值（GDP）,
临床医疗	山东	语言,调查类问题,心理暗示,医学,急救,老年人,治疗方法,医学,急救,老年人,治疗方法,医学,
		你的名字。（动画电影）,天气之子（动画电影）,森七菜,性别,性别研究,社会性别,性别,性别研究,社会性别,
	刘看山福利社	国货,知乎,知乎产品,国货,
	剑锋	中国历史,萧何,西汉,刘邦,汉朝,历史,神话,历史人物,历史,神话,历史人物,
		台湾,地理,电视剧,台独分子,亲爱的，热爱的（电视剧）,日本,天气,自然灾害,台风,气象灾害,日本,天气,自然灾害,台风,气象灾害,
医疗服务	上海	同性恋,基因,生物学,科学,分子人类学,知乎,知乎产品,同性恋,基因,生物学,科学,分子人类学,
	公子V	学习,健康,睡眠,清华大学,生活作息,教育,大学生,职场,人际交往,社会,教育,大学生,职场,人际交往,社会,
互联网	杭州	大学,社会现象,教师,如何看待/评价 X,四大发明,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,大学,社会现象,教师,如何看待/评价 X,四大发明,
法律	重庆	侵权,维权,哔哩哔哩,版权保护,网红经济,法律,法学,化学实验,侵权责任法,办公室小野,法律,法学,化学实验,侵权责任法,办公室小野,
	湖南考古	健康,生活,教育,调查类问题,社会,知乎,知乎产品,健康,生活,教育,调查类问题,社会,
互联网	北京	老公,怀孕,孕期,法律,教育,大连,性教育,中学,法律,教育,大连,性教育,中学,
	小调	生活,生命,人生,成长,生活,爱,亲密关系,两性情感,X 是种怎样的体验,生活,爱,亲密关系,两性情感,X 是种怎样的体验,
法律	上海	法律,情感,离婚,证券,A股（人民币普通股票）,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,法律,情感,离婚,证券,A股（人民币普通股票）,
	日本	美剧,女性,热门问答,致命女人（美剧）,教育,中学生,教育局,教育,中学生,教育局,
		跑步,科学,短跑,跑步,科学,短跑,
	Tori	睡眠,月球,喷射战士 Splatoon（游戏）,任天堂 Switch,喷射战士2（游戏）,喷射战士 Splatoon（游戏）,任天堂 Switch,喷射战士2（游戏）,
通信	北京市	设计,文字,古文字（古汉字）,汉语,音标,汉语,音标,
	俞辰捷	电影,影视评论,动漫,中国动画,哪吒之魔童降世（动画电影）,
互联网	广州市	SQL,MySQL,SQL 语句,SQL优化,腾讯,数据库,postgres,腾讯,数据库,postgres,
	深圳市罗湖区	基督教,宗教,基督教徒,中国文学,梗（网络用语）,网络段子,脑洞（网络用语）,孔乙己,中国文学,梗（网络用语）,网络段子,脑洞（网络用语）,孔乙己,
政府		互联网,百度,云存储,商业模式,网盘,耳机,蓝牙耳机,外设,音频设备,耳机选购,耳机,蓝牙耳机,外设,音频设备,耳机选购,
高新科技		篮球,中国男子篮球队,中国篮球,2019 男篮世界杯,职业发展,职场,领导,人际交往,职场沟通,职业发展,职场,领导,人际交往,职场沟通,
教育	香港	地铁,西安,地铁规划,西安地铁,地铁站,知乎,知乎产品,地铁,西安,地铁规划,西安地铁,地铁站,
	北京市	汉语,现代汉语,汉语学习,汉语发音,英语,文学,翻译,词源,音译,英语,文学,翻译,词源,音译,
	日本	吉卜力工作室,日本动画,龙猫（动画电影）,东北,僵尸（2013 年电影）,东北,僵尸（2013 年电影）,
互联网	北京	电影,印度,宝莱坞,印度电影,青年文化,人力资源（HR）,职场,Slash,斜杠青年,青年文化,人力资源（HR）,职场,Slash,斜杠青年,
		英国,国际,犯罪,越南,偷渡,国家战略,区块链(Blockchain),区块链价值,国家战略,区块链(Blockchain),区块链价值,
	中国传媒大学	英语翻译,英语,道德绑架,学术,危机公关,毕业论文,白鹿原（电视剧）,翟天临 (演员，北影博士，前北大博士后）,学术,危机公关,毕业论文,白鹿原（电视剧）,翟天临 (演员，北影博士，前北大博士后）,
	茶苏苏	美食,烹饪,食材,家常菜,南瓜,知乎,知乎产品,美食,烹饪,食材,家常菜,南瓜,
创意艺术	成都	摄影,摄影师,当代摄影,摄影技术,摄影集,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,摄影,摄影师,当代摄影,摄影技术,摄影集,
	湾区（Bay Area）	时尚,女生,服饰搭配,温柔,学穿搭,知乎,知乎产品,时尚,女生,服饰搭配,温柔,学穿搭,
	Shiwan Zhao	神经网络,LSTM,推荐系统,个性化推荐,推荐系统,个性化推荐,
计算机软件	西雅图（Seattle）	Python,C++,C / C++,vczh（知乎用户）,游戏,单机游戏,Galgame,Steam,AI 少女（游戏）,游戏,单机游戏,Galgame,Steam,AI 少女（游戏）,
	匿名用尸	诗歌,古诗,古诗词,方言,动漫,方言,动漫,
金融	魔都	育儿,儿童教育,孩子,家庭教育,校园暴力,价值观,流行,社会,中国,价值观,流行,社会,中国,
图书馆	南京	恐怖,侦探小说,短文,脑洞（网络用语）,X 中有哪些细思恐极的细节,
	呼噜噜	权力的游戏 第一季（美剧）,文学鉴赏,电影鉴赏,如何看待/评价 X,权力的游戏第八季（美剧）,成语,词语,投票征集类问题,成语,词语,投票征集类问题,
	珠宝	珠宝,中国元素,珠宝设计,珠宝首饰,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,珠宝,中国元素,珠宝设计,珠宝首饰,
	网易游戏	图片,搞笑,搞笑呢,照片,图片处理,修图,照片处理,美颜,照片,图片处理,修图,照片处理,美颜,
	qwerty	离职,危机公关,团队管理,航空公司,民航,通信,马来西亚,马来西亚航空 370 号班机空难,航空公司,民航,通信,马来西亚,马来西亚航空 370 号班机空难,
临床医疗	医学	知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,
科研		数学,抽象代数,高等数学,群论,高等代数,知乎,知乎产品,数学,抽象代数,高等数学,群论,高等代数,
科研	北京	社交礼仪,牛排,北京,语言,汉语,普通话,声调,北京,语言,汉语,普通话,声调,
		创新,北京,大学,科技,深圳市,
高等教育	吉林大学	可口可乐,食品安全,化学,医学,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,可口可乐,食品安全,化学,医学,
	漠北	天气,俄罗斯,北极,北极圈,气候学,知乎,知乎产品,天气,俄罗斯,北极,北极圈,气候学,
临床医疗	小猴	中医,临床医学,军医,临床医学,转专业,医学检验,临床医学,转专业,医学检验,
	集美大学	方言,汉语方言,方言,方言,
	小岛民在大陆	黑人,种族,黑人,种族,
	暮无井见铃	发音,英语,英语口语,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,发音,英语,英语口语,
高等教育	郑州	语言文化,繁体字,预设立场的问题,简繁比较,语言文化,繁体字,预设立场的问题,简繁比较,语言文化,繁体字,预设立场的问题,简繁比较,
信息传媒	温哥华	心理学,教育,家庭教育,f(x) 组合,崔雪莉,f(x) 组合,崔雪莉,
	Junwei Liang	科研,机器学习,计算机视觉,深度学习（Deep Learning）,CVPR,人工智能,神经网络,自动驾驶,无人驾驶车,深度学习（Deep Learning）,人工智能,神经网络,自动驾驶,无人驾驶车,深度学习（Deep Learning）,
金融	上海	劳动力,剩余价值,劳动经济学,劳动力,剩余价值,劳动经济学,
互联网	武汉	医生,手术,经历,闲聊,麻醉,小米科技,米柚（MIUI）,Android,小米手机,Android 第三方 ROM,小米科技,米柚（MIUI）,Android,小米手机,Android 第三方 ROM,
电子游戏	上海	生物进化,自然科学,动物,进化,科学,知乎,知乎产品,生物进化,自然科学,动物,进化,科学,
教育		考研,法语,法语学习,大学生考公务员,法语专业,留学生,恋爱,留学生活,留学生,恋爱,留学生活,
	谢菲尔德大学	医生,医院,医学,医学生,北京协和医院,哲学,哲学,
创意艺术	先后任肉票、师爷，张麻子好基友。	红楼梦（小说）,红楼梦十二钗,红楼梦人物,
大宗交易	上海	手机,智能手机,小米手机,红米手机,Redmi 8,小米科技,显示器,小米产品,液晶显示屏,小米 23.8 英寸显示器,小米科技,显示器,小米产品,液晶显示屏,小米 23.8 英寸显示器,
	精读君	知乎,知乎产品,
	青亭网	微软（Microsoft）,科技,Build 开发者大会,虚拟现实（VR）,Oculus VR,虚拟现实（VR）,Oculus VR,
科研	上海	科研,实验室,化学,生物化学,生物专业,教育,价值观,青少年,教师,教育,价值观,青少年,教师,
互联网		相亲,婚恋观,
互联网		心理学,歌曲,认知偏差,阿里巴巴集团,奶茶,阿里巴巴集团,奶茶,
科研	北京	基因,《自然》（Nature）,韩春雨（人物）,互联网,科技,科学,产业互联网,消费互联网,互联网,科技,科学,产业互联网,消费互联网,
	北京市	北京,X 每天是怎么工作的,上班,音乐,生活,综艺节目,综艺,音乐,生活,综艺节目,综艺,
	匂宫出梦	日本,健康,老年人,养老,养老金,纳粹德国,阿道夫·希特勒（Adolf Hitler）,第二次世界大战,纳粹德国,阿道夫·希特勒（Adolf Hitler）,第二次世界大战,
非营利组织	深圳市	美食,零食,调查类问题,零食购物,导购类问题,
高新科技	成都	哲学,价值观,审美,伦理,美学,哲学,价值观,审美,伦理,美学,
医疗服务	杭州	美白,激光祛斑,激光去斑,激光祛斑,激光去斑,
互联网	海淀区	军人,军官,跑步,运动损伤,膝盖,跑步,运动损伤,膝盖,
电子商务		淘宝卖家,淘宝推广,淘宝店铺,淘宝运营,淘宝新手开店,电子商务,淘宝卖家,淘宝店铺,淘宝货源,淘宝开店,电子商务,淘宝卖家,淘宝店铺,淘宝货源,淘宝开店,
互联网		Adobe Photoshop,Adobe Photoshop CS6,知乎,知乎产品,Adobe Photoshop,Adobe Photoshop CS6,
互联网	旧金山湾区	大数据,知乎,知乎社区,知乎使用,身份标识,优秀回答者（知乎功能）,大数据,
	北京	发音,英语学习,英语口语,发音,英语学习,英语口语,
渔业	哈尔滨	日本,历史,国际关系,国际政治,第二次世界大战,调查类问题,Paradox 公司,大战略游戏,十字军之王 2（Crusader Kings II）,调查类问题,Paradox 公司,大战略游戏,十字军之王 2（Crusader Kings II）,
政府	北京	商业,麦当劳,商标,连锁餐饮,中信资本,健身,化妆,健身,化妆,
临床医疗	首都医科大学	文化差异,美国,英国,中国,自然科学,科技,科研,科学,知乎科学季,自然科学,科技,科研,科学,知乎科学季,
互联网	北京	口臭,脚臭,放屁,臭,臭味,彻底忘记,彻底忘记,
互联网	哈尔滨	基因,智商,遗传,清北复交,北大清华,知乎,知乎产品,基因,智商,遗传,清北复交,北大清华,
互联网	北京	流行音乐,歌手,日本音乐,椎名林檎,日本流行音乐（J-Pop）,幽默,生物学,生殖崇拜,家庭伦理,封建迷信,幽默,生物学,生殖崇拜,家庭伦理,封建迷信,
国防军事	直隶	美国,军事,土耳其,阿拉伯叙利亚共和国,雷杰普·塔伊普·埃尔多安（Recep Tayyip Erdoğan）,土耳其,俄罗斯,阿拉伯叙利亚共和国,土耳其,俄罗斯,阿拉伯叙利亚共和国,
